Time,Dist,Measured
19,10,246
19,10,245
19,10,245
19,10,245
19,10,246
19,10,245
19,10,245
19,10,245
19,10,245
19,10,245
19,10,245
19,10,245
19,10,245
19,10,245
19,10,245
19,10,245
19,10,245
19,10,245
19,10,245
19,10,245
19,10,246
19,10,246
19,10,246
19,10,246
19,10,246
19,10,246
19,10,246
19,10,246
19,10,246
19,10,246
19,10,246
19,10,246
19,10,246
19,10,242
19,10,246
19,10,246
19,10,246
19,10,246
19,10,247
19,10,247
19,10,247
19,10,247
19,10,247
19,10,247
19,10,247
19,10,247
19,10,247
19,10,247
19,10,247
19,10,247
19,10,247
19,10,247
19,10,247
19,10,247
19,10,247
19,10,247
19,10,247
19,10,247
19,10,247
19,10,247
19,10,247
19,10,247
19,10,247
19,10,247
19,10,247
19,10,247
19,10,247
19,10,247
19,10,247
19,10,247
19,10,247
24,30,736
24,30,736
25,30,736
25,30,736
25,30,736
25,30,736
25,30,736
25,30,736
25,30,736
25,30,736
25,30,740
25,30,732
25,30,732
25,30,732
25,30,736
25,30,736
25,30,736
25,30,740
25,30,736
25,30,736
25,30,736
25,30,736
25,30,736
25,30,736
25,30,736
25,30,732
25,30,732
25,30,736
25,30,732
25,30,736
25,30,736
25,30,732
25,30,736
25,30,740
25,30,736
25,30,732
25,30,736
25,30,740
25,30,732
25,30,732
25,30,732
25,30,736
25,30,732
25,30,732
25,30,732
25,30,736
25,30,732
25,30,732
25,30,732
25,30,736
25,30,732
25,30,732
25,30,736
25,30,732
25,30,732
25,30,732
25,30,732
25,30,736
25,30,736
25,30,732
25,30,732
25,30,732
25,30,736
26,30,732
26,30,732
26,30,732
26,30,732
26,30,736
26,30,732
26,30,732
26,30,732
26,30,732
26,30,732
26,30,732
26,30,732
26,30,736
26,30,732
26,30,732
26,30,736
26,30,736
26,30,732
26,30,732
26,30,736
26,30,732
26,30,736
26,30,732
26,30,736
26,30,732
26,30,732
26,30,732
26,30,732
26,30,736
26,30,736
26,30,732
26,30,740
26,30,732
26,30,732
26,30,732
26,30,732
26,30,732
31,15,364
31,15,364
31,15,364
